Station,Lat,Lon,Timestamp,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,AQI,Type,source_file
Indore - Ring Road,22.74,75.88,2025-11-23 00:00:00,351.53,0.0,2.83,80.99,7.47,123.28,132.62,14.63,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 01:00:00,356.92,0.0,3.17,79.5,7.68,123.97,133.52,15.59,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 02:00:00,374.17,0.0,4.24,73.63,6.86,124.34,134.55,14.39,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 03:00:00,392.42,0.15,5.46,69.46,6.02,122.91,133.55,12.63,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 04:00:00,362.99,0.29,4.58,86.13,7.65,114.29,123.73,7.54,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 05:00:00,356.9,0.39,4.04,89.07,7.08,107.69,116.78,6.62,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 06:00:00,351.88,0.37,3.28,94.56,6.62,107.16,115.89,5.21,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 07:00:00,249.94,0.05,2.54,132.94,13.99,93.73,99.93,0.05,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 08:00:00,231.9,0.02,2.25,132.37,12.14,83.21,88.33,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 09:00:00,230.31,0.02,2.22,129.22,10.63,77.97,82.67,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 10:00:00,237.29,0.03,2.52,123.83,9.58,78.39,83.19,0.09,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 11:00:00,247.69,0.04,3.23,115.09,8.59,80.86,86.08,0.82,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 12:00:00,260.12,0.01,4.11,107.54,7.71,82.93,88.6,1.83,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 13:00:00,279.28,0.0,5.29,97.21,6.64,84.65,91.1,3.7,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 14:00:00,307.64,0.0,6.42,86.62,5.78,87.03,94.75,5.96,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 15:00:00,332.82,0.0,6.92,79.14,5.47,89.23,98.11,7.98,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 16:00:00,345.22,0.0,6.8,73.03,5.19,89.41,98.94,9.15,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 17:00:00,354.18,0.0,6.49,66.81,4.31,89.99,99.76,8.85,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 18:00:00,356.04,0.0,6.05,61.95,3.3,89.99,99.41,7.97,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 19:00:00,347.31,0.0,5.36,59.3,2.53,89.24,97.77,6.88,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 20:00:00,343.63,0.0,4.76,57.32,2.09,89.12,97.17,6.1,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 21:00:00,343.0,0.0,4.29,54.61,1.73,89.29,97.07,5.49,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 22:00:00,342.75,0.0,3.94,51.43,1.45,89.54,97.14,5.05,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-23 23:00:00,345.95,0.0,3.76,48.02,1.27,90.25,97.85,5.03,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 00:00:00,351.89,0.0,3.85,44.09,1.16,90.93,98.7,5.33,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 01:00:00,365.05,0.0,4.41,39.44,1.2,91.31,99.57,5.53,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 02:00:00,390.2,0.01,5.79,34.66,1.4,92.44,101.71,5.44,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 03:00:00,409.15,0.33,6.74,34.09,1.63,93.49,103.3,5.38,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 04:00:00,346.91,0.47,4.47,60.82,3.09,93.1,100.59,2.65,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 05:00:00,335.59,0.57,3.98,69.37,3.72,93.38,100.64,2.04,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 06:00:00,320.65,0.46,3.38,82.31,4.86,95.3,102.21,1.62,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 07:00:00,252.26,0.2,2.14,117.12,7.84,78.13,82.49,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 08:00:00,237.09,0.11,1.35,120.93,5.73,63.67,66.91,0.0,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 09:00:00,234.54,0.09,1.24,120.28,4.87,57.53,60.41,0.0,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 10:00:00,247.85,0.11,2.08,114.73,4.49,58.71,61.95,0.2,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 11:00:00,272.03,0.09,3.9,103.77,4.17,62.13,66.19,1.84,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 12:00:00,298.45,0.02,5.99,93.85,3.89,64.23,69.06,3.52,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 13:00:00,327.43,0.0,7.59,84.83,3.65,65.66,71.57,5.23,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 14:00:00,359.78,0.0,8.55,75.22,3.28,67.32,74.62,6.61,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 15:00:00,387.32,0.0,8.74,66.83,2.87,68.71,76.91,6.79,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 16:00:00,395.25,0.0,8.1,60.63,2.48,68.38,76.7,6.01,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 17:00:00,398.66,0.0,7.4,56.77,2.17,68.24,76.55,5.51,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 18:00:00,390.51,0.0,6.52,56.43,1.92,67.4,75.12,4.75,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 19:00:00,352.1,0.0,4.74,65.77,2.06,64.93,71.2,3.47,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 20:00:00,342.41,0.0,4.05,63.25,1.73,64.5,70.42,3.16,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 21:00:00,340.21,0.0,3.64,59.05,1.45,64.97,70.78,2.96,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 22:00:00,340.16,0.0,3.32,54.93,1.22,66.04,71.77,2.8,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-24 23:00:00,341.22,0.0,3.13,50.81,1.02,67.74,73.47,2.76,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 00:00:00,346.39,0.0,3.15,46.36,0.88,69.73,75.57,2.81,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 01:00:00,355.98,0.0,3.64,41.85,0.91,71.82,78.14,2.97,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 02:00:00,377.47,0.01,4.99,38.03,1.2,74.57,81.98,3.47,4,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 03:00:00,388.67,0.29,5.86,39.34,1.59,77.73,85.74,3.84,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 04:00:00,333.25,0.49,4.24,63.83,3.36,84.14,90.97,1.67,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 05:00:00,324.96,0.6,3.92,73.7,4.48,87.95,94.89,1.08,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 06:00:00,316.41,0.47,3.37,89.59,6.32,93.83,100.8,0.47,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 07:00:00,255.78,0.22,2.23,125.42,10.21,94.03,99.47,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 08:00:00,227.86,0.13,1.52,131.69,8.61,83.89,88.18,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 09:00:00,220.77,0.1,1.47,132.2,8.02,78.45,82.3,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 10:00:00,222.79,0.09,1.85,131.98,7.89,76.86,80.69,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 11:00:00,228.93,0.08,2.77,129.15,7.91,77.6,81.66,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 12:00:00,237.42,0.02,3.98,126.17,8.09,78.87,83.24,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 13:00:00,263.26,0.0,5.87,114.55,7.5,82.33,87.77,0.54,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 14:00:00,303.77,0.0,7.79,100.45,6.82,86.4,93.71,3.26,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 15:00:00,340.16,0.0,8.65,91.17,6.71,89.81,98.8,6.06,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 16:00:00,363.49,0.0,8.57,83.4,6.51,91.89,101.95,8.02,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 17:00:00,383.44,0.0,8.18,74.32,5.4,94.8,105.38,8.52,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 18:00:00,394.66,0.0,7.75,65.56,3.86,97.9,108.22,7.95,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 19:00:00,392.76,0.0,6.95,58.1,2.61,100.15,109.48,6.4,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 20:00:00,392.35,0.0,6.04,53.15,1.98,103.4,112.21,5.14,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 21:00:00,391.59,0.0,5.19,50.16,1.68,107.24,115.69,4.22,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 22:00:00,387.3,0.0,4.42,49.19,1.67,110.92,119.08,3.58,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-25 23:00:00,383.23,0.0,3.86,49.72,1.77,115.06,123.0,3.2,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 00:00:00,383.27,0.0,3.63,49.92,1.87,119.27,127.13,3.01,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 01:00:00,386.94,0.0,3.9,49.32,2.09,122.73,130.87,3.06,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 02:00:00,401.77,0.0,4.95,49.17,2.75,125.93,134.91,3.52,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 03:00:00,403.57,0.14,5.63,53.93,3.9,128.07,137.37,3.49,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 04:00:00,380.73,0.42,4.79,68.45,5.77,129.3,138.06,2.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 05:00:00,372.91,0.6,4.42,78.02,6.8,130.53,139.28,1.6,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 06:00:00,358.09,0.51,3.71,95.86,9.09,133.71,142.26,0.67,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 07:00:00,272.38,0.23,2.19,131.4,13.44,119.16,125.56,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 08:00:00,234.78,0.13,1.49,134.45,10.95,102.95,108.03,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 09:00:00,222.57,0.11,1.49,134.04,10.06,96.43,101.09,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 10:00:00,221.45,0.09,1.87,133.97,9.89,95.13,99.75,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 11:00:00,225.72,0.05,2.72,131.51,9.92,96.0,100.8,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 12:00:00,231.84,0.01,3.76,128.61,10.06,96.88,101.89,0.0,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 13:00:00,251.2,0.0,5.37,118.58,9.33,98.98,104.71,0.11,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 14:00:00,284.61,0.0,7.04,105.76,8.16,102.26,109.39,1.52,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 15:00:00,313.5,0.0,7.77,96.03,7.4,105.13,113.63,3.16,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 16:00:00,332.55,0.0,7.8,87.43,6.75,106.26,115.74,4.81,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 17:00:00,349.79,0.0,7.67,79.17,5.75,108.03,118.22,5.79,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 18:00:00,358.27,0.0,7.39,71.1,4.62,109.26,119.4,6.22,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 19:00:00,353.03,0.0,6.65,64.79,3.79,109.43,118.7,6.07,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 20:00:00,347.62,0.0,5.65,61.72,3.64,110.72,119.15,5.61,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 21:00:00,342.88,0.0,4.76,62.37,4.26,113.67,121.46,4.6,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 22:00:00,339.62,0.0,4.07,65.43,5.48,118.97,126.44,3.17,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-26 23:00:00,347.05,0.0,3.84,61.44,4.69,123.53,130.96,3.24,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-27 00:00:00,356.56,0.0,3.86,56.08,3.74,127.48,135.07,3.46,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-27 01:00:00,369.38,0.0,4.25,50.88,3.19,130.38,138.44,3.68,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-27 02:00:00,390.23,0.0,5.26,48.6,3.55,134.34,143.41,3.88,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-27 03:00:00,402.16,0.14,5.93,53.09,4.88,139.14,148.83,3.17,5,Historical,aqi_historical_data.csv
Indore - Ring Road,22.74,75.88,2025-11-27 04:00:00,387.32,0.39,4.89,71.02,7.77,145.0,154.53,0.76,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 05:00:00,420.24,0.64,3.89,85.23,8.53,122.98,133.69,5.2,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 06:00:00,413.21,0.46,2.92,99.65,8.67,127.34,137.79,4.77,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 07:00:00,285.38,0.22,1.99,156.38,24.74,119.41,128.1,0.0,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 08:00:00,252.19,0.16,1.59,165.93,23.67,114.0,121.68,0.0,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 09:00:00,239.96,0.12,1.47,166.38,20.99,110.0,117.0,0.0,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 10:00:00,246.06,0.13,2.12,158.61,18.39,110.8,117.76,0.0,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 11:00:00,263.97,0.12,3.57,144.19,15.78,114.09,121.5,0.02,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 12:00:00,284.95,0.03,5.51,131.89,14.21,115.8,123.79,1.28,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 13:00:00,308.9,0.0,6.77,120.43,12.96,116.17,124.91,3.57,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 14:00:00,332.74,0.0,7.22,108.83,10.99,117.62,127.28,5.34,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 15:00:00,352.01,0.0,7.04,99.68,9.12,119.29,129.69,6.28,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 16:00:00,358.06,0.0,6.42,92.31,7.81,118.68,129.28,6.7,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 17:00:00,364.03,0.0,5.9,88.43,7.4,118.96,129.77,7.29,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 18:00:00,363.55,0.0,5.38,86.52,7.19,119.43,130.0,7.78,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 19:00:00,354.36,0.0,4.68,84.85,6.93,119.36,129.28,8.24,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 20:00:00,349.78,0.0,4.01,83.14,6.75,119.32,128.89,9.0,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 21:00:00,347.57,0.0,3.49,81.65,6.65,119.23,128.62,10.01,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 22:00:00,347.0,0.0,3.12,80.51,6.67,119.41,128.71,11.27,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-22 23:00:00,348.07,0.0,2.88,80.38,6.96,120.58,129.87,12.93,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 00:00:00,351.53,0.0,2.83,80.99,7.47,123.28,132.62,14.63,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 01:00:00,356.92,0.0,3.17,79.5,7.68,123.97,133.52,15.59,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 02:00:00,374.17,0.0,4.24,73.63,6.86,124.34,134.55,14.39,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 03:00:00,392.42,0.15,5.46,69.46,6.02,122.91,133.55,12.63,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 04:00:00,362.99,0.29,4.58,86.13,7.65,114.29,123.73,7.54,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 05:00:00,356.9,0.39,4.04,89.07,7.08,107.69,116.78,6.62,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 06:00:00,351.88,0.37,3.28,94.56,6.62,107.16,115.89,5.21,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 07:00:00,249.94,0.05,2.54,132.94,13.99,93.73,99.93,0.05,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 08:00:00,231.9,0.02,2.25,132.37,12.14,83.21,88.33,0.0,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 09:00:00,230.31,0.02,2.22,129.22,10.63,77.97,82.67,0.0,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 10:00:00,237.29,0.03,2.52,123.83,9.58,78.39,83.19,0.09,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 11:00:00,247.69,0.04,3.23,115.09,8.59,80.86,86.08,0.82,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 12:00:00,260.12,0.01,4.11,107.54,7.71,82.93,88.6,1.83,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 13:00:00,279.28,0.0,5.29,97.21,6.64,84.65,91.1,3.7,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 14:00:00,307.64,0.0,6.42,86.62,5.78,87.03,94.75,5.96,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 15:00:00,332.82,0.0,6.92,79.14,5.47,89.23,98.11,7.98,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 16:00:00,345.22,0.0,6.8,73.03,5.19,89.41,98.94,9.15,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 17:00:00,354.18,0.0,6.49,66.81,4.31,89.99,99.76,8.85,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 18:00:00,356.04,0.0,6.05,61.95,3.3,89.99,99.41,7.97,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 19:00:00,347.31,0.0,5.36,59.3,2.53,89.24,97.77,6.88,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 20:00:00,343.63,0.0,4.76,57.32,2.09,89.12,97.17,6.1,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 21:00:00,343.0,0.0,4.29,54.61,1.73,89.29,97.07,5.49,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 22:00:00,342.75,0.0,3.94,51.43,1.45,89.54,97.14,5.05,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-23 23:00:00,345.95,0.0,3.76,48.02,1.27,90.25,97.85,5.03,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 00:00:00,351.89,0.0,3.85,44.09,1.16,90.93,98.7,5.33,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 01:00:00,365.05,0.0,4.41,39.44,1.2,91.31,99.57,5.53,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 02:00:00,390.2,0.01,5.79,34.66,1.4,92.44,101.71,5.44,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 03:00:00,409.15,0.33,6.74,34.09,1.63,93.49,103.3,5.38,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 04:00:00,346.91,0.47,4.47,60.82,3.09,93.1,100.59,2.65,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 05:00:00,335.59,0.57,3.98,69.37,3.72,93.38,100.64,2.04,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 06:00:00,320.65,0.46,3.38,82.31,4.86,95.3,102.21,1.62,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 07:00:00,252.26,0.2,2.14,117.12,7.84,78.13,82.49,0.0,5,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 08:00:00,237.09,0.11,1.35,120.93,5.73,63.67,66.91,0.0,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 09:00:00,234.54,0.09,1.24,120.28,4.87,57.53,60.41,0.0,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 10:00:00,247.85,0.11,2.08,114.73,4.49,58.71,61.95,0.2,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 11:00:00,272.03,0.09,3.9,103.77,4.17,62.13,66.19,1.84,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 12:00:00,298.45,0.02,5.99,93.85,3.89,64.23,69.06,3.52,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 13:00:00,327.43,0.0,7.59,84.83,3.65,65.66,71.57,5.23,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 14:00:00,359.78,0.0,8.55,75.22,3.28,67.32,74.62,6.61,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 15:00:00,387.32,0.0,8.74,66.83,2.87,68.71,76.91,6.79,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 16:00:00,395.25,0.0,8.1,60.63,2.48,68.38,76.7,6.01,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 17:00:00,398.66,0.0,7.4,56.77,2.17,68.24,76.55,5.51,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 18:00:00,390.51,0.0,6.52,56.43,1.92,67.4,75.12,4.75,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 19:00:00,352.1,0.0,4.74,65.77,2.06,64.93,71.2,3.47,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 20:00:00,342.41,0.0,4.05,63.25,1.73,64.5,70.42,3.16,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 21:00:00,340.21,0.0,3.64,59.05,1.45,64.97,70.78,2.96,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 22:00:00,340.16,0.0,3.32,54.93,1.22,66.04,71.77,2.8,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-24 23:00:00,341.22,0.0,3.13,50.81,1.02,67.74,73.47,2.76,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-25 00:00:00,346.39,0.0,3.15,46.36,0.88,69.73,75.57,2.81,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-25 01:00:00,355.98,0.0,3.64,41.85,0.91,71.82,78.14,2.97,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-25 02:00:00,377.47,0.01,4.99,38.03,1.2,74.57,81.98,3.47,4,Historical,aqi_historical_data.csv
Indore - CAT Road,22.78,75.86,2025-11-25 03:00:00,388.67,0.29,5.86,39.34,1.59,77.73,85.74,3.84,5,Historical,aqi_historical_data.csv
